A
a. (in Etym.) 	adoption of, adopted from
a (as a 1850) 	ante, 'before', 'not later than'
a. 	adjective
abbrev. 	abbreviation (of)
abl. 	ablative
absol. 	absolute, -ly
Abstr. 	(in titles) Abstract, -s
acc. 	accusative
Acct. 	(in titles) Account
A.D. 	Anno Domini
ad. (in Etym.) 	adaptation of
Add. 	Addenda
adj. 	adjective
Adv. 	(in titles) Advance, -d, -s
adv. 	adverb
advb. 	adverbial, -ly
Advt. 	advertisement
Aeronaut. 	(as label) in Aeronautics; (in titles) Aeronautic, -al, -s
AF., AFr. 	Anglo-French
Afr. 	Africa, -n
Agric. 	(as label) in Agriculture; (in titles) Agriculture, - al
Alb. 	Albanian
Amer. 	American
Amer. Ind. 	American Indian
Anat. 	(as label) in Anatomy; (in titles) Anatomy, - ical
Anc. 	(in titles) Ancient
Anglo-Ind. 	Anglo-Indian
Anglo-Ir. 	Anglo-Irish
Ann. 	Annals
Anthrop., Anthropol. 	(as label) in Anthropology; (in titles) Anthropology, -ical
Antiq. 	(as label) in Antiquities; (in titles) Antiquity
aphet. 	aphetic, aphetized
app. 	apparently
Appl. 	(in titles) Applied
Applic. 	(in titles) Application, -s
appos. 	appositive, -ly
Arab. 	Arabic
Aram. 	Aramaic
Arch. 	(as label) in Architecture; (in titles) Architecture, -al
Arm. 	Armenian
assoc. 	association
Astr. 	in Astronomy
Astrol. 	in Astrology
Astron. 	(in titles) Astronomy, -ical
Astronaut. 	(in titles) Astronautic, -s
attrib. 	attributive, -ly
Austral. 	Australian
Autobiogr. 	(in titles) Autobiography, -ical
A.V. 	Authorized Version
B
B.C. 	Before Christ
B.C. 	(in titles) British Columbia
bef. 	before
Bibliogr. 	(as label) in Bibliography; (in titles) Bibliography, -ical
Biochem. 	(as label) in Biochemistry; (in titles) Biochemistry, -ical
Biol. 	(as label) in Biology; (in titles) Biology, - ical
Bk. 	Book
Bot. (as label) in Botany; (in titles) Botany, -ical Bp. 	Bishop
Brit. 	(in titles) Britain, British
Bulg. 	Bulgarian
Bull. 	(in titles) Bulletin
C
c (as c 1700) 	circa, 'about'
c. (as 19th c.) 	century
Cal. 	(in titles) Calendar
Cambr. 	(in titles) Cambridge
Canad. 	Canadian
Cat. 	Catalan
catachr. 	catachrestically
Catal. 	(in titles) Catalogue
Celt. 	Celtic
Cent. 	(in titles) Century, Central
Cent. Dict. 	Century Dictionary
Cf., cf. 	confer, 'compare'
Ch. 	Church
Chem. 	(as label) in Chemistry; (in titles) Chemistry, - ical
Chr. 	(in titles) Christian
Chron. 	(in titles) Chronicle
Chronol. 	(in titles) Chronology, -ical
Cinemat., Cinematogr. 	in Cinematography
Clin. 	(in titles) Clinical
cl. L. 	classical Latin
cogn. w. 	cognate with
Col. 	(in titles) Colonel, Colony
Coll. 	(in titles) Collection
collect. 	collective, -ly
colloq. 	colloquial, -ly
comb. 	combined, -ing
Comb. 	Combinations
Comm. 	in Commercial usage
Communic. 	in Communications
comp. 	compound, composition
Compan. 	(in titles) Companion
compar. 	comparative
compl. 	complement
Compl. 	(in titles) Complete
Conc. 	(in titles) Concise
Conch. 	in Conchology
concr. 	concrete, -ly
Conf. 	(in titles) Conference
Congr. 	(in titles) Congress
conj. 	conjunction
cons. 	consonant
const. 	construction, construed with
contr. 	contrast (with)
Contrib. 	(in titles) Contribution
Corr. 	(in titles) Correspondence
corresp. 	corresponding (to)
Cotgr. 	R. Cotgrave, Dictionarie of the French and English tongues
cpd. 	compound
Crit. 	(in titles) criticism, critical
Cryst. 	in Crystallography
Cycl. 	(in titles) Cyclopaedia, -ic
Cytol. 	(in titles) Cytology, -ical
D
Da. 	Danish
D.A. 	Dictionary of Americanisms
D.A.E. 	Dictionary of American English
dat. 	dative
D.C. 	District of Columbia
Deb. 	(in titles) Debate, -s
def. 	definite, -ition
dem. 	demonstrative
deriv. 	derivative, -ation
derog. 	derogatory
Descr. 	(in titles) Description, -tive
Devel. 	(in titles) Development, -al
Diagn. 	(in titles) Diagnosis, Diagnostic
dial. 	dialect, -al
Dict. 	dictionary; spec., the Oxford English Dictionary
dim. 	diminutive
Dis. 	(in titles) Disease
Diss. 	(in titles) Dissertation
D.O.S.T. 	Dictionary of the Older Scottish Tongue
Du. 	Dutch
E
E. 	East
Eccl. 	(as label) in Ecclesiastical usage; (in titles) Ecclesiastical
Ecol. 	in Ecology
Econ. 	(as label) in Economics; (in titles) Economy, - ics
ed. 	edition
E.D.D. 	English Dialect Dictionary
Edin. 	(in titles) Edinburgh
Educ. 	(as label) in Education; (in titles) Education, - al
EE. 	Early English
e.g. 	exempli gratia, 'for example'
Electr. 	(as label) in Electricity; (in titles) Electricity, - ical
Electron. 	(in titles) Electronic, -s
Elem. 	(in titles) Element, -ary
ellipt. 	elliptical, -ly
Embryol. 	in Embryology
e.midl. 	east midland (dialect)
Encycl. 	(in titles) Encyclopaedia, -ic
Eng. 	England, English
Engin. 	in Engineering
Ent. 	in Entomology
Entomol. 	(in titles) Entomology, -logical
erron. 	erroneous, -ly
esp. 	especially
Ess. 	(in titles) Esssay, -s
et al. 	et alii, 'and others'
etc. 	et cetera
Ethnol. 	in Ethnology
etym. 	etymology
euphem. 	euphemistically
Exam. 	(in titles) Examination
exc. 	except
Exerc. 	(in titles) Exercise, -s
Exper. 	(in titles) Experiment, -al
Explor. 	(in titles) Exploration, -s
F
f. 	feminine
f. 	(in Etym.) formed on
f. (in subordinate entries) 	form of
F. 	French
fem. (rarely f.) 	feminine
fig. 	figurative, -ly
Finn. 	Finnish
fl. 	floruit, 'flourished'
Found. 	(in titles) Foundation, -s
Fr. 	French
freq. 	frequent, -ly
Fris. 	Frisian
Fund. 	(in titles) Fundamental, -s
Funk or Funk's Stand. Dict. 	Funk and Wagnalls Standard Dictionary
G
G. 	German
Gael. 	Gaelic
Gaz. 	(in titles) Gazette
gen. 	genitive
gen. 	general, -ly
Geogr. 	(as label) in Geography; (in titles) Geography, - ical
Geol. 	(as label) in Geology; (in titles) Geology, - ical
Geom. 	in Geometry
Geomorphol. 	in Geomorphology
Ger. 	German
Gloss. 	Glossary
Gmc. 	Germanic
Godef. 	F. Godefroy, Dictionnaire de l'ancienne langue francaise
Goth. 	Gothic
Govt. 	(in titles) Government
Gr. 	Greek
Gr. 	Great
Gram. 	(as label) in Grammar; (in titles) Grammar, - tical
Gt. 	Great
H
Heb., Hebr. 	Hebrew
Her. 	in Heraldry
Herb. 	among herbalists
Hind. 	Hindustani
Hist. 	(as label) in History; (in titles) History, - ical
hist. 	historical
Histol. 	(as label) in Histology; (in titles) Histology, - ical
Hort. 	in Horticulture
Househ. 	(in titles) Household
Housek. 	(in titles) Housekeeping
I
Ibid. 	Ibidem, 'in the same book or passage'
Icel. 	Icelandic
Ichthyol. 	in Ichthyology
id. 	idem, 'the same'
i.e. 	id est, 'that is'
IE. 	Indo-European
Illustr. 	(in titles) Illustration, -ted
imit. 	imitative
Immunol. 	in Immunology
imp. 	imperative
impers. 	impersonal
impf. 	imperfect
ind. 	indicative
indef. 	indefinite
Industr. 	(in titles) Industry, -ial
inf. 	infinitive
infl. 	influenced
Inorg. 	(in titles) Inorganic
Ins. 	(in titles) Insurance
Inst. 	(in titles) Institute, -tion
int. 	interjection
intr. 	intransitive
Introd. 	(in titles) Introduction
Ir. 	Irish
irreg. 	irregular, -ly
It. 	Italian
J
J., (J.) 	(quoted from) Johnson's Dictionary
(Jam.) 	Jamieson, Scottish Dict.
Jap. 	Japanese
joc. 	jocular, -ly
Jrnl. 	(in titles) Journal
Jun. 	(in titles) Junior
K
Knowl. 	(in titles) Knowledge
L
l. 	line
L. 	Latin
lang. 	language
Lect. 	(in titles) Lecture, -s
Less. 	(in titles) Lesson, -s
Let., Lett. 	letter, letters
LG. 	Low German
lit. 	literal, -ly
Lit. 	Literary
Lith. 	Lithuanian
LXX 	Septuagint
M
m. 	masculine
Mag. 	(in titles) Magazine
Magn. 	(in titles) Magnetic, -ism
Mal. 	Malay, Malayan
Man. 	(in titles) Manual
Managem. 	(in titles) Management
Manch. 	(in titles) Manchester
Manuf. 	in Manufacture, -ing
Mar. 	(in titles) Marine
masc. (rarely m.) 	masculine
Math. 	(as label) in Mathematics; (in titles) Mathematics, -al
MDu. 	Middle Dutch
ME. 	Middle English
Mech. 	(as label) in Mechanics; (in titles) Mechanics, - al
Med. 	(as label) in Medicine; (in titles) Medicine, - ical
med.L. 	medieval Latin
Mem. 	(in titles) Memoir, -s
