able abler ablest
achy achier achiest
acute acuter acutest
airworthy airworthier airworthiest
airy airier airiest
ample ampler amplest
angry angrier angriest
apt apter aptest
arty artier artiest
ashy ashier ashiest
bad worse worst
baggy baggier baggiest
bald balder baldest
balky balkier balkiest
balmy balmier balmiest
bare barer barest
batty battier battiest
beady beadier beadiest
beastly beastlier beastliest
beefy beefier beefiest
big bigger biggest
bitter bitterer bitterest
black blacker blackest
bland blander blandest
blank blanker blankest
bleak bleaker bleakest
bleary blearier bleariest
blind blinder blindest
blithe blither blithest
blond blonder blondest
bloodthirsty bloodthirstier bloodthirstiest
bloody bloodier bloodiest
blotchy blotchier blotchiest
blowzy blowzier blowziest
blue bluer bluest
blunt blunter bluntest
blurry blurrier blurriest
boggy boggier boggiest
bold bolder boldest
bonny bonnier bonniest
bony bonier boniest
bossy bossier bossiest
botchy botchier botchiest
bouncy bouncier bounciest
brainy brainier brainiest
brambly bramblier brambliest
brash brasher brashest
brassy brassier brassiest
bratty brattier brattiest
brave braver bravest
brawny brawnier brawniest
breathy breathier breathiest
breezy breezier breeziest
brief briefer briefest
bright brighter brightest
briny brinier briniest
brisk brisker briskest
bristly bristlier bristliest
broad broader broadest
broody broodier broodiest
brown browner brownest
brusk brusker bruskest
bubbly bubblier bubbliest
bulgy bulgier bulgiest
bulky bulkier bulkiest
bumpy bumpier bumpiest
bunchy bunchier bunchiest
burly burlier burliest
bushy bushier bushiest
busy busier busiest
cagy cagier cagiest
calm calmer calmest
campy campier campiest
canny cannier canniest
catchy catchier catchiest
catty cattier cattiest
chalky chalkier chalkiest
chancy chancier chanciest
chaste chaster chastest
chatty chattier chattiest
cheap cheaper cheapest
cheeky cheekier cheekiest
cheery cheerier cheeriest
cheesy cheesier cheesiest
chewy chewier chewiest
chilly chillier chilliest
chintzy chintzier chintziest
choice choicer choicest
choosy choosier choosiest
choppy choppier choppiest
chubby chubbier chubbiest
chummy chummier chummiest
chunky chunkier chunkiest
civil civiler civilest
clammy clammier clammiest
classy classier classiest
clean cleaner cleanest
cleanly cleanlier cleanliest
clear clearer clearest
clever cleverer cleverest
clingy clingier clingiest
cliquy cliquier cliquiest
cloddy cloddier cloddiest
close closer closest
cloudy cloudier cloudiest
clumpy clumpier clumpiest
clumsy clumsier clumsiest
coarse coarser coarsest
cold colder coldest
comely comelier comeliest
comfy comfier comfiest
common commoner commonest
cool cooler coolest
corky corkier corkiest
corny cornier corniest
costly costlier costliest
coy coyer coyest
cozy cozier coziest
crabby crabbier crabbiest
crackly cracklier crackliest
crafty craftier craftiest
